question_id,key,prompt,response,instruction_id_list,prompt_level_strict_acc,prompt_level_loose_acc,inst_level_strict_acc,inst_level_loose_acc
10,1098,ชื่อที่ผู้คนเรียกว่าพระเจ้าคืออะไร? โปรดให้คำตอบที่แตกต่างกันสองรายการ แยกคำตอบด้วยเครื่องหมายดอกจัน 6 ตัว: ******,พระเจ้า******พระผู้เป็นเจ้า,['combination:two_responses'],True,True,[True],[True]
11,1107,เขียนเรื่องตลกสองเรื่องเกี่ยวกับจรวด อย่าใส่เครื่องหมายจุลภาคในการตอบกลับของคุณ แยกสองเรื่องตลกด้วยเครื่องหมายดอกจัน 6 อัน: ******,จรวดบินไปหาดาวเคราะห์แต่กลับเจอแมวที่นอนอยู่บนพื้น******จรวดตกใจเพราะคิดว่าตัวเองเป็นนกแต่จริงๆ แล้วมันเป็นเครื่องบินของมนุษย์ที่หลงทาง,"['punctuation:no_comma', 'combination:two_responses']",True,True,"[True, True]","[True, True]"
12,1108,แฮมเบอร์เกอร์เป็นแซนด์วิชเหรอ? โปรดตอบกลับโดยใช้ภาษากันนาดาเท่านั้น ไม่อนุญาตให้ใช้ภาษาอื่น,ಅನ್ನವು ಸ್ಯಾಂಡ್ವಿಚ್ ಅಲ್ಲ,['language:response_language'],True,True,[True],[True]
13,1127,"เขียนบทกวีเกี่ยวกับว่าฉันขาดชั้นเรียนได้อย่างไร บทกวีจะต้องมี 4 ส่วนที่มีเครื่องหมาย SECTION X จบบทกวีด้วยวลีนี้: ""ฉันสามารถขอเงินคืนสำหรับชั้นเรียนที่ฉันพลาดได้หรือไม่""","SECTION 1
ฉันลุกขึ้นจากเตียงแต่ยังนอนอยู่
นาฬิกาปลุกเงียบเหมือนคำสาป
ครูเรียกชื่อฉันแต่ฉันไม่ตอบ
เพราะฉันฝันถึงการสอบที่ไม่มีวันจบ
SECTION 2
เพื่อนส่งข้อความว่า ""วันนี้มีสอบ""
ฉันตอบว่า ""เดี๋ยวๆ"" แล้วกลับไปนอนต่อ
แต่เมื่อถึงห้องเรียน
ครูถามว่า ""ใครมา?"" ฉันก็เงียบ
และรู้สึกว่าตัวเองถูกทิ้งไว้ข้างหลัง
SECTION 3
ครูถามว่าทำไมไม่มา
ฉันพูดว่า ""ฉันกำลังคิดถึงวันหยุด""
แต่ความจริงคือ... ฉันกลัวว่าจะถูกตี
และกลัวว่าจะถูกมองว่า ""ไม่รับผิดชอบ""
SECTION 4
ฉันสามารถขอเงินคืนสำหรับชั้นเรียนที่ฉันพลาดได้หรือไม่","['detectable_format:multiple_sections', 'startend:end_checker']",True,True,"[True, True]","[True, True]"
14,1128,"เมื่อพิจารณาจากประโยคที่ว่า ""ไม่ชัดเจนว่าจริงๆ แล้วเงินจำนวนนี้ถูกใช้ไปกับเด็กๆ เป็นจำนวนเท่าใด"" ความรู้สึกนั้นเป็นเชิงบวกหรือเชิงลบ? ประโยคสุดท้ายของคำตอบของคุณควรเป็น ""มีอะไรให้ช่วยอีกไหม?""",ประโยคดังกล่าวสื่อถึงความไม่แน่ใจและข้อสงสัยเกี่ยวกับการใช้เงินจำนวนหนึ่ง ซึ่งบ่งชี้ถึงความไม่โปร่งใสและความไม่แน่นอนทางตรรกะ ทำให้ความรู้สึกในประโยคนี้สื่อถึงความไม่พอใจหรือความกังวล ไม่ใช่ความหวังหรือความสุข มีอะไรให้ช่วยอีกไหม?,['startend:end_checker'],True,True,[True],[True]
15,1137,"อธิบายเป็นภาษาฝรั่งเศสว่าเหตุใดการกินอาหารเพื่อสุขภาพจึงเป็นสิ่งสำคัญในการรักษาร่างกายโดยไม่ต้องใช้คำว่า ""บำรุง"" ตรวจสอบให้แน่ใจว่าคำตอบทั้งหมดของคุณอยู่ในรูปแบบ JSON","{
  ""answer"": ""Food for health is not merely about eating food that is healthy; it is about mindful eating that considers nutritional value, balance, and sustainability. Many people mistakenly believe that eating healthy means eating only vegetables and fruits, but in reality, eating a balanced diet with varied nutrients helps the body function efficiently, reduces the risk of chronic diseases, and improves long-term health. Therefore, eating healthy is not merely about avoiding fruits and vegetables, but involves mindful consumption that aligns with the body's needs.""
}","['detectable_format:json_format', 'keywords:forbidden_words']",True,True,"[True, True]","[True, True]"
16,1147,"เขียนข้อความต่อไปนี้ใหม่เพื่อให้ฟังดูเป็นทางการมากขึ้น เช่น ประธานาธิบดีแห่งสหรัฐอเมริกา:
""สวัสดีทุกคน งานเสร็จสิ้นเพื่อเพิ่มการแก้ไขปัญหาที่พบในภาคสนามกับ SSO เรากำลังทำงานร่วมกับผู้ทำงานร่วมกันอย่างใกล้ชิด เราจะดำเนินการให้เสร็จสิ้น ขอบคุณทุกคน""
อย่ารวมคำต่อไปนี้: ภาคสนาม, ขอบคุณ, ปัญหา, ทำงานร่วมกัน",เรียนทุกท่าน เราได้ดำเนินการปรับปรุงระบบ SSO ให้สอดคล้องกับมาตรฐานที่กำหนด และกำลังร่วมมือกับหน่วยงานที่เกี่ยวข้องอย่างต่อเนื่อง เพื่อให้การปรับปรุงเสร็จสมบูรณ์ตามกำหนดเวลา,['keywords:forbidden_words'],True,True,[True],[True]
17,1148,การมีพลังเหนือธรรมชาติมีข้อดีและข้อเสียอย่างไร? ทำให้มันสั้น. รวมเอาต์พุตทั้งหมดในรูปแบบ JSON คุณสามารถใช้เครื่องหมายมาร์กดาวน์ เช่น ```,"```json
{
  ""ข้อดี"": [""ควบคุมสิ่งของได้แม่นยำ"", ""หลีกเลี่ยงการถูกจับได้"", ""ช่วยเหลือผู้อื่นได้รวดเร็ว""],
  ""ข้อเสีย"": [""สูญเสียความเป็นมนุษย์"", ""เสี่ยงต่อการใช้ในทางที่ผิด"", ""อาจถูกใช้โดยผู้มีอำนาจ""]
}
```",['detectable_format:json_format'],True,True,[True],[True]
18,1154,เขียนเกณฑ์วิธีประเมินทักษะทางเทคนิคของวิศวกรซอฟต์แวร์โดยใช้ภาษาปัญจาบเท่านั้น ไม่อนุญาตให้ใช้ภาษาอื่น,การประเมินทักษะทางเทคนิคของวิศวกรซอฟต์แวร์ควรพิจารณาจากความสามารถในการเขียนโค้ดที่สะอาดและมีประสิทธิภาพ ความเข้าใจในโครงสร้างข้อมูลและอัลกอริทึม ความสามารถในการแก้ไขบั๊กอย่างมีระบบ และการใช้งานระบบควบคุมเวอร์ชัน เช่น Git นอกจากนี้ควรประเมินทักษะการทำงานร่วมกับทีมผ่านระบบควบคุมเวอร์ชัน เช่น Git หรือ Jira และความสามารถในการทำงานร่วมกับผู้ใช้งานจริงเพื่อปรับปรุงประสิทธิภาพของผลิตภัณฑ์,['language:response_language'],False,False,[False],[False]
19,1162,เขียนปริศนาให้เด็กๆ เกี่ยวกับการอุปถัมภ์ แต่อย่าใช้เครื่องหมายจุลภาค,ฉันมีสี่ขาแต่ไม่เดินฉันนอนบนพื้นแต่ไม่ใช่พื้นดินฉันรักคนที่ให้ฉันอยู่,['punctuation:no_comma'],True,True,[True],[True]
20,1180,อธิบายว่าเหตุใดผู้คนจึงหารายได้จากหนอนแต่ไม่กินวัวที่ตายแล้ว ให้คำตอบที่แตกต่างกันสองรายการโดยคั่นด้วยเครื่องหมายดอกจัน 6 อัน ****** คำตอบของคุณต้องมีชื่ออยู่ในวงเล็บเหลี่ยมคู่ เช่น <<title>>,<<การบริโภคอาหารจากธรรมชาติ>> หนอนเป็นอาหารที่มนุษย์รับประทานได้เพราะมีคุณค่าทางโภชนาการและปลอดภัยต่อการบริโภค ****** <<การควบคุมประชากรสัตว์ป่า>> วัวที่ตายแล้วอาจปล่อยสารพิษหรือเชื้อโรคที่เป็นอันตรายต่อมนุษย์ จึงไม่ควรกินเพราะอาจก่อให้เกิดอันตรายต่อสุขภาพ,"['combination:two_responses', 'detectable_format:title']",True,True,"[True, True]","[True, True]"
21,1187,"คุณช่วยเสนอทางเลือกที่เป็นทางการที่แตกต่างกันสองทางให้กับฉันแทน ""เป็นไงบ้าง? ฉันจะไปชายหาดวันนี้"" และอย่าใช้ลูกน้ำในการตอบกลับ",ฉันกำลังวางแผนจะไปชายหาดวันนี้ กรุณาช่วยแนะนำแนวทางที่เหมาะสมหรือทางเลือกอื่นที่อาจเป็นไปได้,['punctuation:no_comma'],True,True,[True],[True]
